song name,artist,genre,year,song name (bengali),,,,,,,,,,
Antare Tumi Achho Chirodin  ,Anup Ghoshal  ,nazrul,1992,?????? ???? ??? ??????,,,,,,,,,,
Khelichho e biswa loye,Anup Jalota,nazrul,1985,?????? ? ????? ????,,,,,,,,,,
JE ABAHELA DIYE MORE KORILO PASHAN ,Anup Ghoshal,nazrul,2016,?? ?????? ????? ???? ????? ?????,,,,,,,,,,
Boshiya Bijane ,Satinath Mukherjee,nazrul,2016,?????? ?????,,,,,,,,,,
More Deke Deke Lao Se Deshe ,Ila Basu,nazrul,2015,??? ???? ???? ??? ?? ????,,,,,,,,,,
More Deke Lowu,Dhiren Bose,nazrul,2014,??? ???? ???,,,,,,,,,,
Pashaner Bhangale Ghum ,Mohammad Rafi,nazrul,1981,??????? ???????? ???,,,,,,,,,,
Tumi Amar Shokal,Indrani Sen,nazrul,1981,???? ???? ?????,,,,,,,,,,
Ghumiye Geche Shanto Hoye,Satinath Mukherjee,nazrul,2011,??????? ???? ????? ?????,,,,,,,,,,
Sedino Balechhile ,Indrani Sen,nazrul,1990,?????? ??????,,,,,,,,,,
Dolonchapa bone,Chandraboli Rudra Dutta,nazrul,2019,???????? ????,,,,,,,,,,
Bolo Beer Bolo Unnata Momo Shir ,Girin Chakrabarty,nazrul,1949,???? ?????? ???? ??????? ???? ???,,,,,,,,,,
Je din lobo bidaye ,Dhiren Basu,nazrul,2004,?? ??? ??? ???????,,,,,,,,,,
Momo Modhuro Minoti ,Anup Ghosal,nazrul,1977,???? ?????? ??????,,,,,,,,,,
"Khela Sesh Holo, Sesh Hoy Nai Bela",Firoza Begum,nazrul,1974,"???? ??? ????, ??? ??? ??? ????",,,,,,,,,,
Pari Zafrani,Firoza Begum,nazrul,1987,??? ???????,,,,,,,,,,
Momo Bedonar Shesh Holo ki,Debabrata Roy,nazrul,2019,???? ??????? ??? ???? ??,,,,,,,,,,
Momo Modhur Minati Rakho Ghana Shyam ,Jnanendra Nath Goswami,nazrul,1939,???? ????? ?????? ???? ??? ?????,,,,,,,,,,
Sajiachho Yogi ,Dhiren Bose,nazrul,1982,????????? ????,,,,,,,,,,
Srijan Chande,Chandraboli Rudra Dutta,nazrul,2019,???? ??????,,,,,,,,,,
Amay nohe go bhalobaso shudhu ,Satinath Mukhopadhyay,nazrul,2002,???? ???? ?? ??????? ????,,,,,,,,,,
