song name,artist,genre,year,song name (bengali),,,,,,,,,,
Boba festun,Lakkhichhara,rock band,2005,???? ???????,,,,,,,,,,
Eka,Lakkhichhara,rock band,2005,???,,,,,,,,,,
Paliye baraie,Lakkhichhara,rock band,2005,??????? ?????,,,,,,,,,,
Aachi sob somoye,Lakkhichhara,rock band,2005,??? ??? ?????,,,,,,,,,,
Aalo,Lakkhichhara,rock band,2020,???,,,,,,,,,,
Kemon acho sohor,Lakkhichhara,rock band,2012,???? ??? ????,,,,,,,,,,
Mahabiswa,Lakkhichhara,rock band,2012,????????,,,,,,,,,,
Satso sokal,Lakkhichhara,rock band,2012,????? ?????,,,,,,,,,,
Glycerine,Lakkhichhara,rock band,2012,?????????,,,,,,,,,,
Niruddesh,Lakkhichhara,rock band,2012,?????????,,,,,,,,,,
Bismritir Canvasey,Lakkhichhara,rock band,2012,????????? ?????????,,,,,,,,,,
Meghmallar,Lakkhichhara,rock band,2012,?????????,,,,,,,,,,
Sudhu chai tomaye,Lakkhichhara,rock band,2012,???? ??? ???????,,,,,,,,,,
Samayer bipaksha,Lakkhichhara,rock band,2011,??????? ??????,,,,,,,,,,
Samngramer Birudhye,Lakkhichhara,rock band,2011,????????? ????????,,,,,,,,,,
Satyye,Lakkhichhara,rock band,2011,???????,,,,,,,,,,
Ki pore achhe ar,Lakkhichhara,rock band,2011,?? ???? ??? ??,,,,,,,,,,
Amie,Lakkhichhara,rock band,2011,???,,,,,,,,,,
Bisanya driwapat  ,Lakkhichhara,rock band,2011,?????? ???????? ,,,,,,,,,,
Ratir arale,Lakkhichhara,rock band,2011,????? ?????,,,,,,,,,,
Bujhte parini,Lakkhichhara,rock band,2011,????? ?????,,,,,,,,,,
Asukh,Prithibi,rock band,2007,????,,,,,,,,,,
Barud,Prithibi,rock band,2007,?????,,,,,,,,,,
O amar,Prithibi,rock band,2007,? ????,,,,,,,,,,
Pagol,Prithibi,rock band,2007,????,,,,,,,,,,
Satidaho,Prithibi,rock band,2007,???????,,,,,,,,,,
Nishidhho poroyana,Prithibi,rock band,2007,?????? ??????,,,,,,,,,,
Bristi,Prithibi,rock band,2007,????????,,,,,,,,,,
He Kritodas,Prithibi,rock band,2007,??? ??????,,,,,,,,,,
Manobi,Prithibi,rock band,2007,?????,,,,,,,,,,
Bilob dirghojibi hoke,Prithibi,rock band,2007,???? ???????? ????,,,,,,,,,,
Nosto,Prithibi,rock band,2010,?????,,,,,,,,,,
Postmortem,Prithibi,rock band,2010,???????????,,,,,,,,,,
Opekkha,Prithibi,rock band,2010,?????,,,,,,,,,,
Asubho antat,Prithibi,rock band,2010,????? ?????,,,,,,,,,,
Balai Bondhuta,Prithibi,rock band,2010,???? ???????,,,,,,,,,,
Noy obhinoy,Prithibi,rock band,2010,??? ??????,,,,,,,,,,
Shikhondi,Prithibi,rock band,2010,???????,,,,,,,,,,
Nil pakhi,Prithibi,rock band,2010,??? ????,,,,,,,,,,
Classroom,Prithibi,rock band,2010,????????,,,,,,,,,,
Panch ekk-ke tin,Prithibi,rock band,2010,???? ???-?? ???,,,,,,,,,,
Shomoy,Prithibi,rock band,2016,?????,,,,,,,,,,
Janmodin,Prithibi,rock band,2016,???????,,,,,,,,,,
Joker,Prithibi,rock band,2016,?????,,,,,,,,,,
Chaddobesh,Prithibi,rock band,2016,?????????,,,,,,,,,,
Chalo Udye jai,Prithibi,rock band,2016,??? ????? ???,,,,,,,,,,
Ektu ektu kore,Prithibi,rock band,2016,???? ???? ????,,,,,,,,,,
Bandhu tomaye,Chandrabindoo,rock band,1998,????? ??????,,,,,,,,,,
Phanka neki,Chandrabindoo,rock band,1998,????? ????,,,,,,,,,,
Jodi bolo hya,Chandrabindoo,rock band,1998,????? ???? ??????,,,,,,,,,,
Khelche sachin,Chandrabindoo,rock band,1998,????? ????,,,,,,,,,,
Ananda sen,Chandrabindoo,rock band,1998,????? ???,,,,,,,,,,
Natajanu,Chandrabindoo,rock band,1998,????????,,,,,,,,,,
Gadha,Chandrabindoo,rock band,1998,??????????,,,,,,,,,,
Jhilmil,Chandrabindoo,rock band,1998,??????,,,,,,,,,,
Roga bolo na,Chandrabindoo,rock band,1998,??? ???? ??,,,,,,,,,,
Chandrabindoo,Chandrabindoo,rock band,1998,????????????,,,,,,,,,,
Neel,Chandrabindoo,rock band,2001,???,,,,,,,,,,
Gaan bhalobeshe gaan,Chandrabindoo,rock band,2001,??? ??????? ???,,,,,,,,,,
Adorer Nouka,Chandrabindoo,rock band,2001,????? ????,,,,,,,,,,
Duniya dot com,Chandrabindoo,rock band,2001,??????? ?? ??,,,,,,,,,,
Banbhashi,Chandrabindoo,rock band,2001,??????,,,,,,,,,,
Bhindeshi tara,Chandrabindoo,rock band,2001,??????? ????,,,,,,,,,,
Dudh na khele,Chandrabindoo,rock band,2001,??? ?? ???,,,,,,,,,,
Bhalo lage na,Chandrabindoo,rock band,2001,??? ???? ??,,,,,,,,,,
Ta Na Na,Chandrabindoo,rock band,2001,?? ?? ??,,,,,,,,,,
Aamader chade,Chandrabindoo,rock band,2001,????? ????,,,,,,,,,,
Mone,Chandrabindoo,rock band,2003,????,,,,,,,,,,
Juju,Chandrabindoo,rock band,2003,????,,,,,,,,,,
Geet govindo,Chandrabindoo,rock band,2003,??? ???????,,,,,,,,,,
Aikom Baikom,Chandrabindoo,rock band,2003,???? ?????,,,,,,,,,,
Eita tomar gaan,Chandrabindoo,rock band,2003,???? ??? ???,,,,,,,,,,
Ki aar korbo,Chandrabindoo,rock band,2003,?? ?? ????,,,,,,,,,,
Awnko ki kothin,Chandrabindoo,rock band,2003,????? ?? ????,,,,,,,,,,
Ami amar mone,Chandrabindoo,rock band,2003,??? ???? ??,,,,,,,,,,
Ma dake khoka,Chandrabindoo,rock band,2003,?? ???? ????,,,,,,,,,,
Bagiye kaali,Chandrabindoo,rock band,2003,??????? ????,,,,,,,,,,
Ebhabeo phire asha jai,Chandrabindoo,rock band,2005,?????? ???? ??? ???,,,,,,,,,,
Keo bhalobeshe,Chandrabindoo,rock band,2005,??? ????????,,,,,,,,,,
Duporer khamoke kheyal,Chandrabindoo,rock band,2005,??????? ?????? ??????,,,,,,,,,,
Mahgal Graho,Chandrabindoo,rock band,2005,???? ?????,,,,,,,,,,
Office time,Chandrabindoo,rock band,2005,???? ???,,,,,,,,,,
Mouno mukhor,Chandrabindoo,rock band,2005,???? ????,,,,,,,,,,
Aar jani na,Chandrabindoo,rock band,2005,?? ???? ??,,,,,,,,,,
Conductor,Chandrabindoo,rock band,2005,?????????,,,,,,,,,,
Jodi bhalo pabe,Chandrabindoo,rock band,2005,???? ???? ????,,,,,,,,,,
Sweet heart,Chandrabindoo,rock band,2005,?????????,,,,,,,,,,
Aadhkhana Aador,Chandrabindoo,rock band,2014,?????? ???,,,,,,,,,,
Aalo,Chandrabindoo,rock band,2014,???,,,,,,,,,,
Bishadbari lane,Chandrabindoo,rock band,2014,?????????? ???,,,,,,,,,,
Chup,Chandrabindoo,rock band,2014,???,,,,,,,,,,
Ebhabe jai,Chandrabindoo,rock band,2014,???? ???,,,,,,,,,,
Hridoy,Chandrabindoo,rock band,2014,?????,,,,,,,,,,
Jhilmil raat,Chandrabindoo,rock band,2014,?????? ???,,,,,,,,,,
Ke nilo tar roop,Chandrabindoo,rock band,2014,?? ???? ??? ???,,,,,,,,,,
Motamuti,Chandrabindoo,rock band,2014,????????,,,,,,,,,,
Muhutora,Chandrabindoo,rock band,2014,????????,,,,,,,,,,
Jaalo agun jalo,Arbovirus,rock band,2013,???? ???? ????,,,,,,,,,,
Roder kinaray,Arbovirus,rock band,2013,???? ??????,,,,,,,,,,
Hariye jao,Arbovirus,rock band,2013,??????? ???,,,,,,,,,,
Aw,Arbovirus,rock band,2013,??,,,,,,,,,,
Durotto,Arbovirus,rock band,2013,????????,,,,,,,,,,
Sharthopor,Arbovirus,rock band,2013,???????,,,,,,,,,,
Prolaap,Arbovirus,rock band,2013,???????,,,,,,,,,,
Bodlegeche,Arbovirus,rock band,2013,?????????,,,,,,,,,,
Mukhosh,Arbovirus,rock band,2017,?????,,,,,,,,,,
Shurjo,Arbovirus,rock band,2017,??????,,,,,,,,,,
Nilam,Arbovirus,rock band,2017,?????,,,,,,,,,,
Tomader shommane,Arbovirus,rock band,2017,??????? ???????,,,,,,,,,,
Bhenge Felo,Arbovirus,rock band,2017,?????? ????,,,,,,,,,,
School,Arbovirus,rock band,2017,?????,,,,,,,,,,
Tomar gaan,Arbovirus,rock band,2017,????? ???,,,,,,,,,,
Ami amari moto,Arbovirus,rock band,2021,??? ????? ????,,,,,,,,,,
Shottogatha,Arbovirus,rock band,2021,?????????,,,,,,,,,,
Nishshongo Griho,Arbovirus,rock band,2021,??????? ????,,,,,,,,,,
Asha Nirasha,Miles,rock band,1991,??? ??????,,,,,,,,,,
Anamika,Miles,rock band,2000,???????,,,,,,,,,,
Onabil Bishashey,Miles,rock band,1996,????? ??????,,,,,,,,,,
Abar hashi mukh,Shironamhin,rock band,2022,??? ???? ???,,,,,,,,,,
Bhalobeshona,Miles,rock band,1996,??????????,,,,,,,,,,
Bishmoy Jatra,Miles,rock band,2000,??????? ??????,,,,,,,,,,
Bhulbona Tomake,Miles,rock band,1996,??????? ??????,,,,,,,,,,
"Din Gelo,Din Firey Elo",Miles,rock band,1991,"??? ????, ??? ??????? ???",,,,,,,,,,
Dhikhi Dhikhi,Miles,rock band,1996,?????,,,,,,,,,,
Chaad Tara,Miles,rock band,1991,??? ????,,,,,,,,,,
Bishonno Jochona,Miles,rock band,2000,?????? ?????,,,,,,,,,,
Dupur Belay,Miles,rock band,2000,????? ??????,,,,,,,,,,
Frustration,Miles,rock band,1996,?????????,,,,,,,,,,
Ei Toe Sedin,Miles,rock band,1996,?? ?? ?????,,,,,,,,,,
Ei Shomoy,Miles,rock band,1996,?? ????,,,,,,,,,,
Hridoyhina,Miles,rock band,1996,?????????,,,,,,,,,,
Hello Dhaka,Miles,rock band,2000,?????? ????,,,,,,,,,,
Gunjon Shuni,Miles,rock band,1991,?????? ????,,,,,,,,,,
Ghorey Loiya Jao,Miles,rock band,1991,???? ????? ???,,,,,,,,,,
Jadu,Miles,rock band,1996,????,,,,,,,,,,
Jaatio Shongiter Ditio Line,Miles,rock band,2000,????? ???????? ????? ????,,,,,,,,,,
Jala Jala,Miles,rock band,1996,???? ????,,,,,,,,,,
Jay Din Jay,Miles,rock band,2006,??? ??? ???,,,,,,,,,,
Jibon,Miles,rock band,1996,????,,,,,,,,,,
Jhalmaley Bikeley,Miles,rock band,1996,????? ???????,,,,,,,,,,
Kokhono Dekhecho Shopne,Miles,rock band,1996,?????? ?????? ?????,,,,,,,,,,
Kepe Uthe Mon,Miles,rock band,2000,???? ??? ??,,,,,,,,,,
Keno Ora Rajhpothey,Miles,rock band,1991,???? ??? ???????,,,,,,,,,,
Jolrong,Miles,rock band,2006,????,,,,,,,,,,
Kotokal Khujbo Tomay,Miles,rock band,1996,?????? ????? ??????,,,,,,,,,,
Mon Chay,Miles,rock band,2000,??? ???,,,,,,,,,,
Mishti Haashi,Miles,rock band,1991,?????? ????,,,,,,,,,,
Michey Asha,Miles,rock band,2000,???? ???,,,,,,,,,,
Ontorjami,Miles,rock band,2006,?????????,,,,,,,,,,
Nirobey Kichukkhon,Miles,rock band,2000,?????? ???????,,,,,,,,,,
Neela,Miles,rock band,1996,????,,,,,,,,,,
Parina Bujhatey,Miles,rock band,2000,????? ??????,,,,,,,,,,
Pahari Meye,Miles,rock band,1996,??????? ?????,,,,,,,,,,
Oshohay,Miles,rock band,2006,???????,,,,,,,,,,
Polashir Prantor,Miles,rock band,2000,?????? ????????,,,,,,,,,,
Piyashi Mon,Miles,rock band,2000,??????? ???,,,,,,,,,,
Pata Jhorey Jay,Miles,rock band,1991,???? ???? ??,,,,,,,,,,
Priyotoma,Miles,rock band,2000,??????????,,,,,,,,,,
Premer Agoon Jalo,Miles,rock band,1996,??????? ???? ????,,,,,,,,,,
Pothik,Miles,rock band,2006,????,,,,,,,,,,
Rupkothar Rajotto,Miles,rock band,2006,???????? ???????,,,,,,,,,,
Rim Jhim Brishty Tey,Miles,rock band,1996,??? ??? ?????? ??,,,,,,,,,,
Protikkha,Miles,rock band,2006,???????,,,,,,,,,,
Prothom Premer Moto,Miles,rock band,1991,????? ??????? ????,,,,,,,,,,
Shanti Chai,Miles,rock band,1996,?????? ???,,,,,,,,,,
Shaat Diner Tumi,Miles,rock band,2006,?? ????? ????,,,,,,,,,,
Shaanti Nai,Miles,rock band,1991,?????? ???,,,,,,,,,,
Shopnobhongo,Miles,rock band,1996,?????????,,,,,,,,,,
Shopnil Ei Raatey,Miles,rock band,2000,????? ?? ????,,,,,,,,,,
Shesh Thikana,Miles,rock band,2000,??? ??????,,,,,,,,,,
She Kon Dorodiya,Miles,rock band,1991,?? ??? ????????,,,,,,,,,,
Bhoboghurey,Cryptic Fate,rock band,2022,????????,,,,,,,,,,
Ognibina,Cryptic Fate,rock band,2013,????????,,,,,,,,,,
Haste dekho,LRB,rock band,1996,????? ???,,,,,,,,,,
Firey firey,LRB,rock band,1996,???? ????,,,,,,,,,,
Aha jibon,LRB,rock band,1996,??? ????,,,,,,,,,,
Shabdhan,LRB,rock band,1996,???????,,,,,,,,,,
Neel bedona,LRB,rock band,1996,??? ??????,,,,,,,,,,
Ghumonto shohore,LRB,rock band,1995,?????? ???,,,,,,,,,,
Bhranto pothik,LRB,rock band,1995,??????? ????,,,,,,,,,,
Sukhi chele,LRB,rock band,1995,???? ????,,,,,,,,,,
Baily road,LRB,rock band,1995,????? ???,,,,,,,,,,
Bodle gieche somoy,LRB,rock band,1995,????? ???? ?????,,,,,,,,,,
Amar ar kichu nei,LRB,rock band,1995,???? ?? ???? ???,,,,,,,,,,
Haay shadhinota,LRB,rock band,1995,?????? ????????,,,,,,,,,,
Jokkhon Kokkhono,LRB,rock band,1995,?????? ??????,,,,,,,,,,
Shomoyer shrotey,LRB,rock band,1995,??????? ???????,,,,,,,,,,
Matro dos din,LRB,rock band,1995,???? ??? ???,,,,,,,,,,
Ruposey Nogore,LRB,rock band,1995,????? ?????,,,,,,,,,,
Behishebi,LRB,rock band,1996,????????,,,,,,,,,,
Bondi jege ache,LRB,rock band,1996,?????? ???? ???,,,,,,,,,,
Jayanta Bhaloi Thake,LRB,rock band,1996,?????? ???? ???,,,,,,,,,,
Kichu Chaibona,LRB,rock band,1996,???? ???????,,,,,,,,,,
Nirobe,LRB,rock band,1996,??????,,,,,,,,,,
Sporso,LRB,rock band,2008,???????,,,,,,,,,,
Jhor,LRB,rock band,2008,???,,,,,,,,,,
Sabitri Roy,LRB,rock band,2008,???????? ????,,,,,,,,,,
Tumi nay,LRB,rock band,2008,???? ???,,,,,,,,,,
Ashar Shrabon,LRB,rock band,2008,????? ??????,,,,,,,,,,
Helena,LRB,rock band,2008,??????,,,,,,,,,,
Bedona,LRB,rock band,2008,??????,,,,,,,,,,
Keno dure giye,LRB,rock band,2008,???? ???? ?????,,,,,,,,,,
Jete pothe,LRB,rock band,2008,???? ????,,,,,,,,,,
Pichu Dake,LRB,rock band,2008,???? ????,,,,,,,,,,
Anek diner amar je gaan,Srabani Sen,Rabindra sangeet,2005,???? ????? ???? ?? ???,,,,,,,,,,
Aaji nahi nahi,Srabani Sen,Rabindra sangeet,2005,??? ???? ????,,,,,,,,,,
Potho hara tumi,Srabani Sen,Rabindra sangeet,2005,???? ???? ????,,,,,,,,,,
Madhure rupe birajo,Srabani Sen,Rabindra sangeet,2005,?????? ??? ?????,,,,,,,,,,
Dibaso rajani ami jeno,Srabani Sen,Rabindra sangeet,2005,?????? ???? ??? ????,,,,,,,,,,
Pramode dhaliya,Srabani Sen,Rabindra sangeet,2005,?????? ???????,,,,,,,,,,
Hare re re re re,Srabani Sen,Rabindra sangeet,2005,??? ?? ?? ?? ??,,,,,,,,,,
Hey nikhilobhardharono,Srabani Sen,Rabindra sangeet,2005,?? ?????????????,,,,,,,,,,
Har mana har,Srabani Sen,Rabindra sangeet,2005,??? ???? ???,,,,,,,,,,
Anandadhara bohiche bhubone,Srabani Sen,Rabindra sangeet,2005,????????? ????? ?????,,,,,,,,,,
Aaro koto dure,Srikanta Acharya,Rabindra sangeet,2000,???????? ?????? ????,,,,,,,,,,
Bujhi elo bujhi elo,Srikanta Acharya,Rabindra sangeet,2000,???? ??? ???? ???,,,,,,,,,,
Chokhe amar trishna,Srikanta Acharya,Rabindra sangeet,2000,???? ???? ??????,,,,,,,,,,
Ebar amay dakle doore,Srikanta Acharya,Rabindra sangeet,2000,???? ???? ????? ????,,,,,,,,,,
O jonaki ki sukhe,Srikanta Acharya,Rabindra sangeet,2000,? ?????? ?? ????,,,,,,,,,,
Pran chay chokkhu,Srikanta Acharya,Rabindra sangeet,2000,????? ??? ?????,,,,,,,,,,
Prem eshechilo nishobda,Srikanta Acharya,Rabindra sangeet,2000,????? ??????? ???????,,,,,,,,,,
Tumi kemon kore,Srikanta Acharya,Rabindra sangeet,2000,???? ???? ????,,,,,,,,,,
Na bujhe kare tumi,Srikanta Acharya,Rabindra sangeet,1995,?? ???? ??? ????,,,,,,,,,,
Amar rat pohalo,Srikanta Acharya,Rabindra sangeet,1995,???? ??? ??????,,,,,,,,,,
Je chilo amar swapanocharini,Srikanta Acharya,Rabindra sangeet,1995,?? ???? ???? ???????????,,,,,,,,,,
Megh boleche jabo jabo,Srikanta Acharya,Rabindra sangeet,1995,??? ????? ???? ????,,,,,,,,,,
Amar nayan tabo,Srikanta Acharya,Rabindra sangeet,1995,???? ???? ??????,,,,,,,,,,
Ghorete bhromor elo,Srikanta Acharya,Rabindra sangeet,1995,????? ????? ???,,,,,,,,,,
O je mane na mana,Srikanta Acharya,Rabindra sangeet,1995,? ?? ???? ?? ????,,,,,,,,,,
Biraha modhur holo,Srikanta Acharya,Rabindra sangeet,1995,???? ???? ????,,,,,,,,,,
Jodi Tare Na Chini,Srikanta Acharya,Rabindra sangeet,1995,????? ???? ?? ????,,,,,,,,,,
Amar sokal niye,Srikanta Acharya,Rabindra sangeet,1995,???? ???? ?????,,,,,,,,,,
Aji hridoy amar jay bheshe,Srikanta Acharya,Rabindra sangeet,1996,??? ????? ???? ???? ????,,,,,,,,,,
Aji jato tara tobo akashe,Srikanta Acharya,Rabindra sangeet,1996,??? ??? ???? ???? ?????,,,,,,,,,,
Ei udashi haoar pathe pathe,Srikanta Acharya,Rabindra sangeet,1996,? ???? ???? ???,,,,,,,,,,
Ki paini tar hisap,Srikanta Acharya,Rabindra sangeet,1996,?? ????? ??? ?????,,,,,,,,,,
Kobe ami bahir holem,Srikanta Acharya,Rabindra sangeet,1996,???? ??? ???? ?????,,,,,,,,,,
Oi janalar kache boshe acchhe,Srikanta Acharya,Rabindra sangeet,1996,?? ??????? ??? ???? ???,,,,,,,,,,
Sudhu tumar bani nai go,Srikanta Acharya,Rabindra sangeet,1996,???? ????? ???? ??? ??,,,,,,,,,,
Tomar khola hawa,Srikanta Acharya,Rabindra sangeet,1996,????? ???? ??????,,,,,,,,,,
Tumi to shei jabei,Srikanta Acharya,Rabindra sangeet,1996,???? ?? ?? ?????,,,,,,,,,,
Jagarone jai bibhabori,Srikanta Acharya,Rabindra sangeet,2010,??????? ??? ???????,,,,,,,,,,
Tumi ki keboli chhobi,Srikanta Acharya,Rabindra sangeet,2010,???? ?? ????? ???,,,,,,,,,,
Kokhon dile poraye,Srikanta Acharya,Rabindra sangeet,2010,???? ???? ???????,,,,,,,,,,
Sedin dujone,Srikanta Acharya,Rabindra sangeet,2010,????? ??????,,,,,,,,,,
Kotha bahire dure,Srikanta Acharya,Rabindra sangeet,2010,??? ?????? ????,,,,,,,,,,
Ann mona ann mona,Srikanta Acharya,Rabindra sangeet,2010,?? ??? ?? ???,,,,,,,,,,
Mor bina uthe,Srikanta Acharya,Rabindra sangeet,2010,??? ???? ???,,,,,,,,,,
De porede,Lopamudra Mitra,Rabindra sangeet,2010,?? ?? ??,,,,,,,,,,
Esho amar ghore esho,Lopamudra Mitra,Rabindra sangeet,2010,??? ???? ??? ???,,,,,,,,,,
Aami elam tomar dware,Lopamudra Mitra,Rabindra sangeet,2010,??? ??? ????? ???????,,,,,,,,,,
"Sokhi, andhare ekla ghore",Lopamudra Mitra,Rabindra sangeet,2010,"???, ??????? ???? ???",,,,,,,,,,
Jokkon eshecile aandhokare,Lopamudra Mitra,Rabindra sangeet,2010,????? ??????? ????????? ,,,,,,,,,,
Boro biswaye lage,Lopamudra Mitra,Rabindra sangeet,2010,???? ?????? ????,,,,,,,,,,
Aalor amol komolkhani,Srikanta Acharya,Rabindra sangeet,2021,???? ???? ????????,,,,,,,,,,
Acche dukho ache mrityu,Srikanta Acharya,Rabindra sangeet,2021,??? ????? ??? ??????,,,,,,,,,,
Jakhon porbe na,Lopamudra Mitra,Rabindra sangeet,2021,????? ????? ??,,,,,,,,,,
Amar je ashe kache,Lopamudra Mitra,Rabindra sangeet,2021,???? ?? ??? ????,,,,,,,,,,
Din aboshan holo,Lopamudra Mitra,Rabindra sangeet,2021,??? ????? ???,,,,,,,,,,
Kannahashir dol,Lopamudra Mitra,Rabindra sangeet,2000,????????? ??,,,,,,,,,,
Aaji bijan ghore nishith raate,Lopamudra Mitra,Rabindra sangeet,2000,??? ???? ??? ????? ????,,,,,,,,,,
Sakal janam bhore o mor daradiya,Lopamudra Mitra,Rabindra sangeet,2000,??? ??? ???? ? ?? ???????,,,,,,,,,,
Se din dujone dulechhinu bone,Lopamudra Mitra,Rabindra sangeet,2000,?? ??? ?????? ???????? ???,,,,,,,,,,
E pare mukhor holo keka oi,Lopamudra Mitra,Rabindra sangeet,2000,? ??? ???? ?? ???? ??,,,,,,,,,,
Amar poran jaha chay,Lopamudra Mitra,Rabindra sangeet,2000,???? ????? ???? ???,,,,,,,,,,
Amar mon cheye roy mone mone,Lopamudra Mitra,Rabindra sangeet,2000,???? ?? ????? ??? ???? ????,,,,,,,,,,
Sahe Na Jatana,Lopamudra Mitra,Rabindra sangeet,2000,???? ?? ????,,,,,,,,,,
Gram- chara o ranga matir poth,Lopamudra Mitra,Rabindra sangeet,2000,?????- ?? ? ???? ????? ??,,,,,,,,,,
Pather sesh kothay,Lopamudra Mitra,Rabindra sangeet,2000,???? ??? ?????,,,,,,,,,,
Bhenge mor ghorer chabi,Lopamudra Mitra,Rabindra sangeet,2011,?????? ??? ????? ????,,,,,,,,,,
Abar amai dakle doore,Lopamudra Mitra,Rabindra sangeet,2011,??? ???? ?????? ??????,,,,,,,,,,
Ae lovhinu sanga taba,Lopamudra Mitra,Rabindra sangeet,2011,???? ????? ???? ???,,,,,,,,,,
Krisnakali,Lopamudra Mitra,Rabindra sangeet,2011,????????,,,,,,,,,,
Amar mon mane na,Lopamudra Mitra,Rabindra sangeet,2011,???? ?? ???? ??,,,,,,,,,,
Ashru nodir sudur pare,Lopamudra Mitra,Rabindra sangeet,2011,????? ???? ????? ?????,,,,,,,,,,
Aktuku chowa lage,Lopamudra Mitra,Rabindra sangeet,2011,?????? ????? ????,,,,,,,,,,
Oke keno kandali,Sagar Sen,Rabindra sangeet,1989,??? ???? ????????,,,,,,,,,,
Hey nirupama,Sagar Sen,Rabindra sangeet,1989,??? ???????,,,,,,,,,,
Amar nayan tobo nayaner nibir chahey,Sagar Sen,Rabindra sangeet,1989,???? ???? ???? ?????? ????? ????,,,,,,,,,,
Oke dhorile to dhora debe na,Sagar Sen,Rabindra sangeet,1989,??? ?????? ?? ???? ???? ??,,,,,,,,,,
Eso eso hey trishnar jol,Sagar Sen,Rabindra sangeet,1989,??? ??? ?? ???????? ???,,,,,,,,,,
Mukhkhani karo malin bidhur,Sagar Sen,Rabindra sangeet,1989,??????? ??? ???? ?????,,,,,,,,,,
Aapnake ei jana amar phurabe na,Sagar Sen,Rabindra sangeet,1989,????? ?? ???? ???? ?????? ??,,,,,,,,,,
Oi malatilatar dole,Sagar Sen,Rabindra sangeet,1989,?? ????????? ????,,,,,,,,,,
Pran chay chokhu na chayy,Sagar Sen,Rabindra sangeet,1978,????? ??? ???? ?? ???,,,,,,,,,,
Keno amay pagol kore jas,Sagar Sen,Rabindra sangeet,1978,???? ????? ???? ???? ???,,,,,,,,,,
Pratham adi tobo shokti,Sagar Sen,Rabindra sangeet,1978,????? ??? ???? ?????,,,,,,,,,,
Akashbhora surjo tara,Sagar Sen,Rabindra sangeet,1978,??????? ????? ????,,,,,,,,,,
Akashbhora surjo tara,Sagar Sen,Rabindra sangeet,1978,??????? ????? ????,,,,,,,,,,
Aloker ei jhorna dharay,Supratik Das,Rabindra sangeet,2004,?????? ?? ?????? ??????,,,,,,,,,,
Amar praner majhe sudha ache,Supratik Das,Rabindra sangeet,2004,???? ??????? ???? ???? ???,,,,,,,,,,
Bidhir Bandhon Katbe Tumi,Supratik Das,Rabindra sangeet,2004,????? ????? ???? ????,,,,,,,,,,
Chhaya Ghanaichhe Bone Bone,Supratik Das,Rabindra sangeet,2004,????? ?????? ??? ???,,,,,,,,,,
Dariye achho tumi amar,Supratik Das,Rabindra sangeet,2004,??????? ??? ???? ????,,,,,,,,,,
Gagone Gagone Dhay Hanki,Supratik Das,Rabindra sangeet,2004,??? ??? ???? ??????,,,,,,,,,,
Jagote anandojyogye,Supratik Das,Rabindra sangeet,2004,?????? ?????????,,,,,,,,,,
Je kebol paliye beray,Supratik Das,Rabindra sangeet,2004,?? ????? ??????? ??????,,,,,,,,,,
Ki paini tari hisab,Supratik Das,Rabindra sangeet,2004,?? ????? ???? ?????,,,,,,,,,,
Nil anjonoghana punjochhayay,Supratik Das,Rabindra sangeet,2004,??? ??????? ??????????,,,,,,,,,,
O amar chander alo,Supratik Das,Rabindra sangeet,2004,?? ??? ????? ???,,,,,,,,,,
Pinakite Lage Tankar,Supratik Das,Rabindra sangeet,2004,???????? ???? ?????????,,,,,,,,,,
Dokhin haoa jago,Supratik Das,Rabindra sangeet,2004,????? ???? ????,,,,,,,,,,
Jete Jete Ekla Pothe,Supratik Das,Rabindra sangeet,2007,???? ???? ???? ???,,,,,,,,,,
Ebar nirab kore dao ey,Supratik Das,Rabindra sangeet,2007,??? ???? ???? ??? ????,,,,,,,,,,
Swapane amar mone holo,Supratik Das,Rabindra sangeet,2007,?????? ???? ??? ????,,,,,,,,,,
Bishwabeenarabe,Supratik Das,Rabindra sangeet,2007,????????????,,,,,,,,,,
Tomay natun kore pabo bole,Supratik Das,Rabindra sangeet,2007,?????? ????? ???? ???? ????,,,,,,,,,,
Asim Kalsagare,Supratik Das,Rabindra sangeet,2007,???? ???????,,,,,,,,,,
Bhengechho duar esechho jyotirmoy,Supratik Das,Rabindra sangeet,2007,???????? ?????? ????? ???????????,,,,,,,,,,
O manjari o manjari,Suchitra Mitra,Rabindra sangeet,1979,?? ?????? ? ??????,,,,,,,,,,
Sarthak karo sadhan,Suchitra Mitra,Rabindra sangeet,1979,?????? ??? ????,,,,,,,,,,
Majhe Majhe Tabo Dekha Pai,Suchitra Mitra,Rabindra sangeet,1979,???? ???? ???? ???? ???,,,,,,,,,,
Sakal - Sanje Dhay Je Ora,Suchitra Mitra,Rabindra sangeet,1979,??? - ????? ??? ?? ???,,,,,,,,,,
Oi Je Jharer Megher Kole,Suchitra Mitra,Rabindra sangeet,1979,?? ?? ????? ????? ????,,,,,,,,,,
Duar mor pathapashe,Suchitra Mitra,Rabindra sangeet,1979,?????? ??? ??????,,,,,,,,,,
Kon bhiruke bhoy dekhabi,Suchitra Mitra,Rabindra sangeet,1979,?? ?????? ??? ??????,,,,,,,,,,
Amar jirna pata jabar belai,Suchitra Mitra,Rabindra sangeet,1979,???? ????? ???? ??? ?????,,,,,,,,,,
